Câu,.docx Đáp Án,.ts Đáp Án,Câu Hỏi (excerpt),Status
58,,3,Trường hợp nào dưới đây không được lùi xe?,CẦN SỬA
64,1,0,"Khi đỗ xe, người điều khiển phương tiện tham gia giao thông ...",CẦN SỬA
69,2,1,"Trên đường phố, người điều khiển phương tiện giao thông đườn...",CẦN SỬA
75,2,1,Tại nơi đường giao nhau giữa đường không ưu tiên với đường ư...,CẦN SỬA
95,3,2,"Xe cơ giới dưới đây, xe nào là xe quá khổ giới hạn?",CẦN SỬA
103,1,0,Người có giấy phép lái xe hạng C1E được điều khiển loại xe n...,CẦN SỬA
108,0,1,"Theo Luật TTATGTĐB, người đủ bao nhiêu tuổi trở lên được cấp",CẦN SỬA
110,0,1,"Theo Luật TTATGTĐB, người đủ bao nhiêu tuổi trở lên được cấp...",CẦN SỬA
111,,0,"Người vi phạm trật tự, an toàn giao thông đường bộ chưa thực",CẦN SỬA
116,1,3,"Trong khu vực đông dân cư, tốc độ tối đa cho phép đối với xe...",CẦN SỬA
117,0,1,"Trong khu vực đông dân cư, tốc độ tối đa cho phép đối với xe...",CẦN SỬA
127,0,1,"Khi tham gia giao thông trên đường bộ, mặt đường khô ráo,",CẦN SỬA
128,0,3,"Khi tham gia giao thông trên đường bộ, mặt đường khô ráo,",CẦN SỬA
130,0,1,"Niên hạn sử dụng của xe ô tô chở người trên 9 chỗ ngồi, trừ ...",CẦN SỬA
152,0,3,Biển nào cấm người đi bộ?,CẦN SỬA
155,0,1,Biển nào cấm xe ô tô rẽ trái nhưng được phép quay đầu?,CẦN SỬA
156,0,1,Biển nào báo hiệu hết tất cả các lệnh cấm?,CẦN SỬA
157,0,2,Biển nào báo hiệu hết hạn chế tốc độ tối thiểu?,CẦN SỬA
159,0,2,Biển nào báo hiệu hết hạn chế tốc độ tối đa cho phép theo bi...,CẦN SỬA
160,0,2,Gặp biển nào người lái xe không được đỗ xe ngày lẻ?,CẦN SỬA
161,0,1,Biển nào báo cấm xe công nông và các loại xe tương tự?,CẦN SỬA
166,0,2,Khi gặp biển nào người lái xe ô tô không được phép rẽ trái v...,CẦN SỬA
168,0,2,Biển nào cấm máy kéo?,CẦN SỬA
169,0,1,Biển nào báo hiệu chú ý chướng ngại vật?,CẦN SỬA
170,0,1,Biển nào báo hiệu đoạn đường hay xảy ra tai nạn?,CẦN SỬA
171,0,1,Biển nào báo hiệu giao nhau với đường hai chiều?,CẦN SỬA
172,0,2,Biển nào báo hiệu đường hầm?,CẦN SỬA
173,0,1,Biển nào báo hiệu đường đôi?,CẦN SỬA
175,0,1,Biển nào báo hiệu giao nhau với đường không ưu tiên?,CẦN SỬA
176,0,2,Biển nào báo trước sắp đến nơi giao nhau cùng mức của các,CẦN SỬA
178,0,2,"Khi gặp biển nào, người lái xe phải giảm tốc độ, chú ý xe đi",CẦN SỬA
179,0,2,Biển nào báo trước sắp đến một đoạn đường bị thu hẹp đột ngộ...,CẦN SỬA
182,0,1,Biển nào báo hiệu đường bộ giao nhau với đường sắt không có ...,CẦN SỬA
183,0,3,Biển nào báo hiệu nguy hiểm giao nhau với đường sắt?,CẦN SỬA
184,0,2,Biển nào báo hiệu giao nhau có tín hiệu đèn?,CẦN SỬA
185,0,3,Biển nào báo hiệu sắp đến chỗ giao nhau với đường sắt có rào...,CẦN SỬA
189,2,3,Biển nào cảnh báo chỗ ngoặt nguy hiểm liên tiếp?,CẦN SỬA
192,2,3,Biển nào cảnh báo vách núi nguy hiểm?,CẦN SỬA
193,0,1,Biển nào báo trước gần đến đoạn đường thường có trẻ em đi ng...,CẦN SỬA
195,0,1,Biển nào cảnh báo lề đường nguy hiểm khi xe đi vào dễ gây vă...,CẦN SỬA
196,0,1,"Biển nào báo nơi có kết cấu mặt đường rời rạc, khi phương ti...",CẦN SỬA
198,0,2,Biển nào báo trước đoạn đường có gồ giảm tốc?,CẦN SỬA
200,0,2,Biển nào báo trước đến bến phà?,CẦN SỬA
204,0,1,Khi gặp biển nào người lái xe phải cho xe dừng lại trong mọi,CẦN SỬA
207,0,1,Biển nào đặt sau nơi đường giao nhau và có hiệu lực trước mặ...,CẦN SỬA
208,0,3,Biển nào không cho phép rẽ phải?,CẦN SỬA
211,0,3,Biển nào báo tên đường cho các tuyến đường đối ngoại?,CẦN SỬA
213,0,2,Biển nào báo hiệu hướng đi phải theo?,CẦN SỬA
216,0,2,"Biển nào chỉ đường dành cho người đi bộ, các loại xe không đ...",CẦN SỬA
217,0,2,Biển nào báo hiệu cầu vượt liên thông?,CẦN SỬA
218,0,1,Biển nào báo hiệu nơi đỗ xe dành cho người khuyết tật?,CẦN SỬA
219,0,1,Biển nào báo hiệu đường một chiều?,CẦN SỬA
220,0,2,Biển nào chỉ dẫn được ưu tiên qua đường hẹp?,CẦN SỬA
221,0,1,Biển nào báo hiệu “Hết đoạn đường ưu tiên”?,CẦN SỬA
222,0,1,Biển nào báo hiệu đường phía trước có làn đường dành cho ô t...,CẦN SỬA
223,0,2,Biển nào báo hiệu rẽ ra đường có làn đường dành cho ô tô khá...,CẦN SỬA
224,0,1,Biển nào báo hiệu hết đường cao tốc?,CẦN SỬA
225,0,3,Biển nào chỉ dẫn nơi bắt đầu đoạn đường dành cho người đi bộ...,CẦN SỬA
227,0,1,Những biển nào đặt ở nơi đường bộ giao nhau có từ hai địa da...,CẦN SỬA
228,0,3,"Biển nào đặt trước các đường giao nhau, để chỉ dẫn lối đi",CẦN SỬA
230,0,1,Biển nào chỉ dẫn làn đường cứu nạn hay làn thoát xe khẩn cấp...,CẦN SỬA
234,0,1,Biển nào chỉ dẫn khoảng cách đến nút giao với đường dẫn vào ...,CẦN SỬA
236,0,1,Biển này có ý nghĩa gì?,CẦN SỬA
237,0,1,Biển nào chỉ dẫn người lái xe đi được cả hai hướng?,CẦN SỬA
240,0,1,Biển nào chỉ dẫn khoảng cách đến các lối ra tiếp theo?,CẦN SỬA
273,2,1,"Muốn vượt xe trên đường hai chiều, mỗi bên chỉ có một làn đư...",CẦN SỬA
279,3,2,Xe ô tô tham gia giao thông phải bảo đảm các điều kiện nào?,CẦN SỬA
295,2,1,"Khi điều khiển xe ô tô loại chuyển số tự động dừng đèn đỏ, n...",CẦN SỬA
296,0,2,"Khi xuống dốc, muốn dừng xe, người lái xe cần thực hiện thao...",CẦN SỬA
299,2,0,"Khi điều khiển xe vượt qua rãnh cắt ngang mặt đường, người l...",CẦN SỬA
